epoch,accuracy,f1_score,loss,precision,recall,val_accuracy,val_f1_score,val_loss,val_precision,val_recall
0,0.6715189814567566,"""[0.6941662]""",0.6400558352470398,0.6913145780563354,0.697041392326355,0.8258557915687561,"""[0.84264266]""",0.3692415952682495,0.8277286291122437,0.8581039905548096
1,0.8455696105957031,"""[0.8563861]""",0.3694838583469391,0.851873517036438,0.860946774482727,0.7793287038803101,"""[0.83087105]""",0.4493991434574127,0.7119162082672119,0.9975535273551941
2,0.9088607430458069,"""[0.9156415]""",0.2702164351940155,0.9066125154495239,0.9248520731925964,0.7696909308433533,"""[0.8248673]""",0.47183355689048767,0.7028423547744751,0.9981651306152344
3,0.9439873695373535,"""[0.9481395]""",0.21403342485427856,0.9390597939491272,0.9573964476585388,0.8401462435722351,"""[0.8715621]""",0.32753777503967285,0.7734597325325012,0.9981651306152344
4,0.9626582264900208,"""[0.9653349]""",0.17623873054981232,0.9585764408111572,0.9721893668174744,0.8820205926895142,"""[0.9019608]""",0.2684294879436493,0.8222557902336121,0.9987767338752747
5,0.9674050807952881,"""[0.96973264]""",0.1642199605703354,0.9632224440574646,0.976331353187561,0.9724161028862,"""[0.9752017]""",0.12888260185718536,0.9532710313796997,0.9981651306152344
6,0.972468376159668,"""[0.9744793]""",0.14442948997020721,0.9662594795227051,0.9828402400016785,0.9790627956390381,"""[0.98105264]""",0.11551914364099503,0.9650887846946716,0.9975535273551941
7,0.978164553642273,"""[0.97972375]""",0.13631920516490936,0.9731464982032776,0.9863905310630798,0.9843801856040955,"""[0.9857705]""",0.10451122373342514,0.9760192036628723,0.9957186579704285
8,0.9844936728477478,"""[0.9856009]""",0.12059005349874496,0.9789842367172241,0.9923076629638672,0.9764041304588318,"""[0.9782542]""",0.10530154407024384,0.979754626750946,0.9767584204673767
9,0.9854430556297302,"""[0.9864466]""",0.10893426090478897,0.9823943376541138,0.9905325174331665,0.9900299310684204,"""[0.9907976]""",0.061951808631420135,0.9938461780548096,0.9877675771713257
10,0.9854430556297302,"""[0.98646265]""",0.1070903018116951,0.9812646508216858,0.9917159676551819,0.984712541103363,"""[0.98574966]""",0.07533179223537445,0.9987444877624512,0.9730886816978455
11,0.9892405271530151,"""[0.9899882]""",0.09818200021982193,0.9853458404541016,0.994674563407898,0.9780657887458801,"""[0.97940075]""",0.07615936547517776,1.0,0.9596330523490906
12,0.9905063509941101,"""[0.99115044]""",0.09458553791046143,0.9882352948188782,0.9940828680992126,0.9893652200698853,"""[0.9901599]""",0.057623475790023804,0.9956709742546082,0.9847095012664795
13,0.9879747033119202,"""[0.98882353]""",0.0971330776810646,0.9830409288406372,0.994674563407898,0.9940179586410522,"""[0.99449205]""",0.05662154778838158,0.9951010346412659,0.9938837885856628
14,0.9867088794708252,"""[0.9876543]""",0.09075715392827988,0.9813084006309509,0.9940828680992126,0.980059802532196,"""[0.98133165]""",0.07173284888267517,0.998733401298523,0.9645259976387024
15,0.9898734092712402,"""[0.9905938]""",0.08330444991588593,0.9842289686203003,0.9970414042472839,0.994350254535675,"""[0.9947805]""",0.04599086567759514,0.9987669587135315,0.9908257126808167
16,0.9870253205299377,"""[0.98793054]""",0.08750754594802856,0.9830111265182495,0.9928994178771973,0.9946826100349426,"""[0.995119]""",0.041333142668008804,0.9926962852478027,0.9975535273551941
17,0.9863923788070679,"""[0.9873344]""",0.08413709700107574,0.9829912185668945,0.9917159676551819,0.9903622269630432,"""[0.9911934]""",0.053808338940143585,0.9843184351921082,0.9981651306152344
18,0.9863923788070679,"""[0.9873492]""",0.07999077439308167,0.9818607568740845,0.9928994178771973,0.9960119724273682,"""[0.99632806]""",0.03546833619475365,0.996938169002533,0.9957186579704285
19,0.9898734092712402,"""[0.9905771]""",0.07511187344789505,0.9859319925308228,0.9952662587165833,0.9843801856040955,"""[0.9854714]""",0.06756975501775742,0.9962499737739563,0.9749235510826111
20,0.9889240264892578,"""[0.9896724]""",0.07492546737194061,0.9870511889457703,0.9923076629638672,0.9906945824623108,"""[0.99137396]""",0.04827827215194702,0.9987585544586182,0.9840978384017944
21,0.9920886158943176,"""[0.9926275]""",0.06514127552509308,0.9894179701805115,0.9958580136299133,0.9953473210334778,"""[0.9957055]""",0.03324611857533455,0.998769223690033,0.9926605224609375
22,0.9889240264892578,"""[0.9897028]""",0.06945709139108658,0.9842013120651245,0.9952662587165833,0.9910269379615784,"""[0.9916898]""",0.04248616844415665,0.9981412887573242,0.9853211045265198
23,0.994303822517395,"""[0.994684]""",0.06065080687403679,0.9929245114326477,0.9964497089385986,0.9936856031417847,"""[0.99417716]""",0.03226393461227417,0.996314525604248,0.9920489192008972
24,0.9908227920532227,"""[0.99145293]""",0.061268605291843414,0.9876688122749329,0.9952662587165833,0.9900299310684204,"""[0.9908592]""",0.049905285239219666,0.9872495532035828,0.9944953918457031
25,0.9920886158943176,"""[0.9926362]""",0.061835456639528275,0.9882698059082031,0.9970414042472839,0.9873712062835693,"""[0.98836493]""",0.04085161164402962,0.9895769357681274,0.9871559739112854
26,0.9908227920532227,"""[0.9914479]""",0.06228888779878616,0.9882422089576721,0.994674563407898,0.9896975755691528,"""[0.9904409]""",0.045608531683683395,0.9987562298774719,0.9822629690170288
27,0.9927214980125427,"""[0.99322134]""",0.05690685659646988,0.9894304275512695,0.9970414042472839,0.982053816318512,"""[0.98322976]""",0.06071973219513893,0.998738169670105,0.9681957364082336
28,0.9876582026481628,"""[0.9884922]""",0.06307360529899597,0.9858740568161011,0.9911242723464966,0.9887005686759949,"""[0.98963416]""",0.04008052870631218,0.986626148223877,0.9926605224609375
29,0.9879747033119202,"""[0.98883015]""",0.06453526020050049,0.9824766516685486,0.9952662587165833,0.9940179586410522,"""[0.99449205]""",0.031621865928173065,0.9951010346412659,0.9938837885856628
30,0.9901898503303528,"""[0.9908527]""",0.055370479822158813,0.9882283806800842,0.9934911131858826,0.9946826100349426,"""[0.99510705]""",0.027592705562710762,0.9951070547103882,0.9951070547103882
31,0.99556964635849,"""[0.9958678]""",0.04632514342665672,0.9935218095779419,0.9982248544692993,0.9803921580314636,"""[0.9816371]""",0.057874370366334915,0.999366283416748,0.9645259976387024
32,0.9895569682121277,"""[0.99026257]""",0.05721920356154442,0.9876397848129272,0.9928994178771973,0.9332004189491272,"""[0.9420916]""",0.1846493035554886,0.8905228972434998,1.0
33,0.9863923788070679,"""[0.9872894]""",0.06728857755661011,0.9864146709442139,0.9881656765937805,0.9501495361328125,"""[0.9519538]""",0.13532955944538116,0.9993274807929993,0.9088684916496277
34,0.9882911443710327,"""[0.9891016]""",0.06187126040458679,0.9847507476806641,0.9934911131858826,0.9544699192047119,"""[0.95971775]""",0.15300804376602173,0.9241223335266113,0.9981651306152344
35,0.9898734092712402,"""[0.9905771]""",0.05546994134783745,0.9859319925308228,0.9952662587165833,0.9910269379615784,"""[0.9916847]""",0.030581582337617874,0.9987593293190002,0.9847095012664795
36,0.9927214980125427,"""[0.9932173]""",0.05005492642521858,0.9900058507919312,0.9964497089385986,0.9966766238212585,"""[0.9969344]""",0.019576625898480415,0.9993853569030762,0.9944953918457031
37,0.9920886158943176,"""[0.9926275]""",0.04770196974277496,0.9894179701805115,0.9958580136299133,0.9591226577758789,"""[0.9609648]""",0.1021936908364296,0.9986807107925415,0.9259938597679138
38,0.9908227920532227,"""[0.9914429]""",0.047692034393548965,0.9888169765472412,0.9940828680992126,0.9963443279266357,"""[0.9966412]""",0.018278712406754494,0.995121955871582,0.9981651306152344
39,0.99556964635849,"""[0.9958702]""",0.038082461804151535,0.9929412007331848,0.9988165497779846,0.9953473210334778,"""[0.9957239]""",0.022665027529001236,0.9945088624954224,0.9969419240951538
40,0.99556964635849,"""[0.99586535]""",0.03869985416531563,0.9941037893295288,0.997633159160614,0.9953473210334778,"""[0.99571866]""",0.02043943852186203,0.9957186579704285,0.9957186579704285
41,0.9946202635765076,"""[0.9949808]""",0.03724460303783417,0.992928683757782,0.9970414042472839,0.9913592338562012,"""[0.99199504]""",0.034582801163196564,0.9987601041793823,0.9853211045265198
42,0.9911392331123352,"""[0.99173063]""",0.043930284678936005,0.9899764060974121,0.9934911131858826,0.9956796169281006,"""[0.99602085]""",0.018039429560303688,0.9969362616539001,0.9951070547103882
43,0.9936708807945251,"""[0.99408984]""",0.0438557043671608,0.9929161667823792,0.9952662587165833,0.9873712062835693,"""[0.9883292]""",0.04080807790160179,0.9925971627235413,0.9840978384017944
44,0.9886075854301453,"""[0.989368]""",0.04945317655801773,0.9876179099082947,0.9911242723464966,0.9920239448547363,"""[0.992629]""",0.02676921710371971,0.9969154596328735,0.988379180431366
45,0.9870253205299377,"""[0.9878949]""",0.05524565652012825,0.985857367515564,0.9899408221244812,0.9896975755691528,"""[0.9904409]""",0.03653191030025482,0.9987562298774719,0.9822629690170288
46,0.9946202635765076,"""[0.9949808]""",0.03626600652933121,0.992928683757782,0.9970414042472839,0.9953473210334778,"""[0.9957081]""",0.017737699672579765,0.9981561303138733,0.9932721853256226
47,0.9927214980125427,"""[0.99320936]""",0.038786835968494415,0.9911608695983887,0.9952662587165833,0.9896975755691528,"""[0.99047035]""",0.033343251794576645,0.995673656463623,0.9853211045265198
48,0.9873417615890503,"""[0.98818666]""",0.05177273973822594,0.9864386916160583,0.9899408221244812,0.9923562407493591,"""[0.9929469]""",0.02181900106370449,0.9956949353218079,0.9902140498161316
49,0.9854430556297302,"""[0.9864466]""",0.06382270902395248,0.9823943376541138,0.9905325174331665,0.9926885962486267,"""[0.99323905]""",0.024005036801099777,0.9981470108032227,0.988379180431366
50,0.9886075854301453,"""[0.98938054]""",0.04563029482960701,0.9864705801010132,0.9923076629638672,0.9973413348197937,"""[0.99755645]""",0.015544158406555653,0.9963392019271851,0.9987767338752747
51,0.9876582026481628,"""[0.9884513]""",0.04904049634933472,0.9893301725387573,0.9875739812850952,0.9920239448547363,"""[0.99261993]""",0.026699155569076538,0.9981446862220764,0.9871559739112854
52,0.9895569682121277,"""[0.9902396]""",0.04575368016958237,0.9899467825889587,0.9905325174331665,0.9936856031417847,"""[0.9941628]""",0.021188367158174515,0.9987654089927673,0.9896024465560913
53,0.9933544397354126,"""[0.9938035]""",0.03430372104048729,0.9911713004112244,0.9964497089385986,0.9966766238212585,"""[0.9969419]""",0.015201563946902752,0.9969419240951538,0.9969419240951538
