epoch,accuracy,f1_score,loss,precision,recall,val_accuracy,val_f1_score,val_loss,val_precision,val_recall
0,0.8227171301841736,"""[0.82474685]""",0.5353657603263855,0.8161219954490662,0.8335558772087097,0.8349447250366211,"""[0.8531039]""",0.3579378128051758,0.7949599027633667,0.9204244017601013
1,0.949665904045105,"""[0.94951975]""",0.16312657296657562,0.9531390070915222,0.9459279179573059,0.8901933431625366,"""[0.89955777]""",0.2790944576263428,0.8588660955429077,0.9442970752716064
2,0.968262791633606,"""[0.96816]""",0.1214534118771553,0.97217857837677,0.9641744494438171,0.8791436553001404,"""[0.8873149]""",0.2665855586528778,0.8623279333114624,0.9137930870056152
3,0.9701558947563171,"""[0.9701293]""",0.10583393275737762,0.9718624353408813,0.9684023261070251,0.8915745615959167,"""[0.8938472]""",0.27992263436317444,0.9117241501808167,0.8766578435897827
4,0.9726057648658752,"""[0.97258747]""",0.0944601520895958,0.9741071462631226,0.9710725545883179,0.9067679643630981,"""[0.9093352]""",0.25809186697006226,0.921088457107544,0.8978779911994934
5,0.9732739329338074,"""[0.9733037]""",0.08501352369785309,0.9730871915817261,0.9735202789306641,0.8977900743484497,"""[0.899045]""",0.3283373713493347,0.925561785697937,0.8740053176879883
6,0.9744988679885864,"""[0.97451305]""",0.08100106567144394,0.9748385548591614,0.9741877913475037,0.8964088559150696,"""[0.8937677]""",0.33190059661865234,0.9589665532112122,0.836870014667511
7,0.9776169061660767,"""[0.9775895]""",0.0702572613954544,0.9796648025512695,0.9755229353904724,0.9046961069107056,"""[0.9056088]""",0.334625244140625,0.9350282549858093,0.8779841065406799
