epoch,accuracy,loss,precision,recall,val_accuracy,val_loss,val_precision,val_recall
0,0.8337416648864746,0.39390361309051514,0.8201408386230469,0.8553627133369446,0.9426795840263367,0.18482469022274017,0.9431968331336975,0.9469496011734009
1,0.9353006482124329,0.21411675214767456,0.9297166466712952,0.9419225454330444,0.958563506603241,0.14459121227264404,0.960212230682373,0.960212230682373
2,0.9483296275138855,0.19355526566505432,0.9422739148139954,0.9552736878395081,0.9599447250366211,0.15070582926273346,0.9652406573295593,0.9575597047805786
3,0.9544543623924255,0.17305587232112885,0.9489997625350952,0.9606141448020935,0.9454419612884521,0.1845623105764389,0.9668049812316895,0.9270557165145874
4,0.9462137818336487,0.18765892088413239,0.9402853846549988,0.9530485272407532,0.9558011293411255,0.15303245186805725,0.9662162065505981,0.9482758641242981
5,0.9577950835227966,0.15940620005130768,0.9520984292030334,0.9641744494438171,0.9613259434700012,0.1312871277332306,0.9793956279754639,0.9456233382225037
6,0.9563474655151367,0.15331365168094635,0.9527593851089478,0.960391640663147,0.9647790193557739,0.12078377604484558,0.9718120694160461,0.960212230682373
7,0.9621380567550659,0.14198529720306396,0.9603280425071716,0.9641744494438171,0.9461326003074646,0.16035830974578857,0.9530830979347229,0.9429708123207092
8,0.9570155739784241,0.16091346740722656,0.9504386186599731,0.9643969535827637,0.958563506603241,0.1436077058315277,0.9753424525260925,0.9442970752716064
9,0.9564588069915771,0.15248243510723114,0.950186550617218,0.9635068774223328,0.9613259434700012,0.13272222876548767,0.9640957713127136,0.9615384340286255
10,0.9583519101142883,0.14468234777450562,0.9547461271286011,0.9623942971229553,0.9406077265739441,0.191912442445755,0.9868804812431335,0.8978779911994934
11,0.9532294273376465,0.15323325991630554,0.9480862021446228,0.9590564966201782,0.9599447250366211,0.13284030556678772,0.9702702760696411,0.9522546529769897
12,0.9543429613113403,0.1541106104850769,0.9480035305023193,0.9615042209625244,0.9419889450073242,0.1683633178472519,0.937336802482605,0.9522546529769897
13,0.9662583470344543,0.12068191915750504,0.9594387412071228,0.9737427830696106,0.9530386924743652,0.14893695712089539,0.9622641801834106,0.9469496011734009
14,0.969487726688385,0.11010763794183731,0.9643486142158508,0.9750778675079346,0.9509668350219727,0.15291045606136322,0.9671682715415955,0.9376657605171204
