epoch,binary_accuracy,f1_score,loss,precision,recall,val_binary_accuracy,val_f1_score,val_loss,val_precision,val_recall
0,0.6413140296936035,"""[0.6339357]""",0.619529664516449,0.6478513479232788,0.6206052303314209,0.810773491859436,"""[0.8448471]""",0.4532437026500702,0.7371541261672974,0.9893898963928223
1,0.8891982436180115,"""[0.8899458]""",0.29016995429992676,0.8847591876983643,0.8951935768127441,0.9019337296485901,"""[0.9105793]""",0.2546907067298889,0.866906464099884,0.9588859677314758
2,0.9149220585823059,"""[0.91576624]""",0.24669420719146729,0.907561182975769,0.9241210222244263,0.9302486181259155,"""[0.93271154]""",0.23147226870059967,0.9370816349983215,0.9283819794654846
3,0.9259465336799622,"""[0.92625046]""",0.22138775885105133,0.9232810139656067,0.9292389750480652,0.9440608024597168,"""[0.94709337]""",0.16798247396945953,0.9330759048461914,0.9615384340286255
4,0.9242761731147766,"""[0.92497784]""",0.22978803515434265,0.9172866344451904,0.9327992796897888,0.9419889450073242,"""[0.9442971]""",0.1955762356519699,0.9442970752716064,0.9442970752716064
5,0.928396463394165,"""[0.92867446]""",0.21184119582176208,0.9259013533592224,0.9314641952514648,0.9150552749633789,"""[0.9227872]""",0.2383217215538025,0.876042902469635,0.9748010635375977
6,0.9273942112922668,"""[0.92781216]""",0.2190691977739334,0.9233142137527466,0.9323542714118958,0.9468231797218323,"""[0.9483568]""",0.1900780349969864,0.9592944383621216,0.9376657605171204
7,0.941202700138092,"""[0.9414764]""",0.18107092380523682,0.9379416704177856,0.945037841796875,0.9350828528404236,"""[0.93982077]""",0.1823597550392151,0.9084158539772034,0.9734748005867004
8,0.9506681561470032,"""[0.9507723]""",0.16553471982479095,0.9496115446090698,0.951935887336731,0.9640883803367615,"""[0.9655172]""",0.1456688642501831,0.9655172228813171,0.9655172228813171
9,0.9572383165359497,"""[0.9572383]""",0.15454791486263275,0.9580918550491333,0.9563862681388855,0.9578729271888733,"""[0.95968276]""",0.14353790879249573,0.95652174949646,0.9628646969795227
10,0.9530066847801208,"""[0.95314234]""",0.1581062525510788,0.951241135597229,0.9550511837005615,0.9689226746559143,"""[0.97021836]""",0.1207476556301117,0.9682959318161011,0.9721485376358032
11,0.9593541026115417,"""[0.95942193]""",0.14125274121761322,0.9586758613586426,0.9601691365242004,0.9558011293411255,"""[0.95822453]""",0.15147584676742554,0.9434447288513184,0.9734748005867004
12,0.956681489944458,"""[0.95672494]""",0.1528080850839615,0.9566184878349304,0.9568313360214233,0.9433701634407043,"""[0.9473684]""",0.16322554647922516,0.9179104566574097,0.9787798523902893
13,0.9605790376663208,"""[0.96071035]""",0.13806578516960144,0.9583702683448792,0.9630618691444397,0.9447513818740845,"""[0.94520545]""",0.2126675844192505,0.977337121963501,0.9151193499565125
14,0.9609131217002869,"""[0.9610044]""",0.13911277055740356,0.9596183896064758,0.9623942971229553,0.9537292718887329,"""[0.9560079]""",0.16209067404270172,0.9466840028762817,0.9655172228813171
15,0.9670378565788269,"""[0.96705985]""",0.12375695258378983,0.9672751426696777,0.9668446779251099,0.9475138187408447,"""[0.95090437]""",0.15490494668483734,0.9269521236419678,0.9761273264884949
16,0.9506681561470032,"""[0.950925]""",0.19953438639640808,0.9468343257904053,0.9550511837005615,0.9185082912445068,"""[0.923277]""",0.2546960413455963,0.9056122303009033,0.941644549369812
17,0.9410912990570068,"""[0.9411241]""",0.1892017424106598,0.9414384365081787,0.940809965133667,0.9350828528404236,"""[0.93951094]""",0.16906170547008514,0.9125000238418579,0.9681697487831116
18,0.9579064846038818,"""[0.95789707]""",0.1439201682806015,0.9589651823043823,0.9568313360214233,0.9523480534553528,"""[0.95427436]""",0.1696968823671341,0.9536423683166504,0.9549071788787842
19,0.9582405090332031,"""[0.9581893]""",0.14110933244228363,0.9602234363555908,0.956163763999939,0.9516574740409851,"""[0.9537649]""",0.1583337038755417,0.949999988079071,0.9575597047805786
20,0.9646993279457092,"""[0.96475035]""",0.13186870515346527,0.9642142653465271,0.9652870297431946,0.9516574740409851,"""[0.9540079]""",0.16286104917526245,0.9453125,0.9628646969795227
