epoch,binary_accuracy,f1_score,loss,precision,recall,val_binary_accuracy,val_f1_score,val_loss,val_precision,val_recall
0,0.6609131693840027,"""[0.62870383]""",0.6153151392936707,0.6954410672187805,0.5736537575721741,0.8073204159736633,"""[0.8361715]""",0.4545212984085083,0.7502634525299072,0.9442970752716064
1,0.8365256190299988,"""[0.839738]""",0.37609902024269104,0.8242605924606323,0.8558077216148376,0.8577347993850708,"""[0.8785377]""",0.3654162287712097,0.7908704876899719,0.988063633441925
2,0.9008908867835999,"""[0.8994123]""",0.24827049672603607,0.9138723015785217,0.8854027390480042,0.9330110549926758,"""[0.93459207]""",0.17991791665554047,0.9506173133850098,0.9190981388092041
3,0.918262779712677,"""[0.91664773]""",0.22678303718566895,0.9359925985336304,0.8980863094329834,0.9544199109077454,"""[0.9567496]""",0.16401627659797668,0.9455958604812622,0.9681697487831116
4,0.9281737208366394,"""[0.9272912]""",0.20568913221359253,0.9396846890449524,0.915220320224762,0.9523480534553528,"""[0.9539078]""",0.15508650243282318,0.9609690308570862,0.9469496011734009
5,0.9369710683822632,"""[0.9362613]""",0.18958298861980438,0.947788417339325,0.9250110983848572,0.9412983655929565,"""[0.94568694]""",0.18532297015190125,0.9124537706375122,0.9814323782920837
6,0.942984402179718,"""[0.9422903]""",0.1740330457687378,0.9547738432884216,0.9301290512084961,0.9530386924743652,"""[0.9557292]""",0.15316267311573029,0.9386188983917236,0.9734748005867004
7,0.9469932913780212,"""[0.9465529]""",0.17065177857875824,0.9553490281105042,0.9379172325134277,0.9468231797218323,"""[0.95029056]""",0.17187626659870148,0.9257861375808716,0.9761273264884949
8,0.9511135816574097,"""[0.9509004]""",0.15829744935035706,0.9559253454208374,0.9459279179573059,0.9488950371742249,"""[0.9522581]""",0.17466701567173004,0.927135705947876,0.9787798523902893
9,0.9422048926353455,"""[0.94196576]""",0.18141919374465942,0.9467296004295349,0.9372496604919434,0.9537292718887329,"""[0.9560079]""",0.14610932767391205,0.9466840028762817,0.9655172228813171
10,0.9541202783584595,"""[0.9538427]""",0.15463680028915405,0.9605144262313843,0.9472630023956299,0.9571823477745056,"""[0.9593709]""",0.1415868103504181,0.9481865167617798,0.970822274684906
11,0.9573496580123901,"""[0.9571923]""",0.1426316797733307,0.9615989327430725,0.9528259634971619,0.955110490322113,"""[0.95681065]""",0.13781091570854187,0.9587216973304749,0.9549071788787842
12,0.9584632515907288,"""[0.9583473]""",0.1447901427745819,0.9618919491767883,0.954828679561615,0.9530386924743652,"""[0.95520425]""",0.14883053302764893,0.948952853679657,0.9615384340286255
13,0.9625835418701172,"""[0.9624665]""",0.12971588969230652,0.966352641582489,0.9586114883422852,0.9558011293411255,"""[0.95772785]""",0.1408548802137375,0.9539473652839661,0.9615384340286255
14,0.9663696885108948,"""[0.9663322]""",0.1286359280347824,0.968275249004364,0.9643969535827637,0.9523480534553528,"""[0.9540918]""",0.1384393572807312,0.9572763442993164,0.9509283900260925
15,0.9688196182250977,"""[0.96875703]""",0.11939406394958496,0.9715756773948669,0.965954601764679,0.916436493396759,"""[0.92451656]""",0.2704860270023346,0.8727915287017822,0.982758641242981
16,0.9669265151023865,"""[0.9668416]""",0.12002304196357727,0.9701994061470032,0.9635068774223328,0.9205800890922546,"""[0.92799]""",0.24640412628650665,0.8790035843849182,0.982758641242981
17,0.9635857343673706,"""[0.9635249]""",0.12634851038455963,0.9660031199455261,0.9610592126846313,0.9406077265739441,"""[0.94501287]""",0.15984269976615906,0.9123457074165344,0.9801061153411865
18,0.9684855341911316,"""[0.9684398]""",0.11559458822011948,0.9707131385803223,0.9661771059036255,0.9620165824890137,"""[0.96412265]""",0.12947618961334229,0.9486520886421204,0.9801061153411865
19,0.955456554889679,"""[0.9550157]""",0.15328751504421234,0.9654388427734375,0.9448153376579285,0.905386745929718,"""[0.91399866]""",0.26953262090682983,0.8676996231079102,0.9655172228813171
20,0.9497773051261902,"""[0.94924027]""",0.16770540177822113,0.9603735208511353,0.9383622407913208,0.9564917087554932,"""[0.9584158]""",0.1504928022623062,0.9540078639984131,0.9628646969795227
21,0.9585745930671692,"""[0.9583706]""",0.14984272420406342,0.9639801979064941,0.9528259634971619,0.950276255607605,"""[0.9532467]""",0.1564505398273468,0.9338422417640686,0.9734748005867004
22,0.9613585472106934,"""[0.96119875]""",0.13611264526844025,0.9660598039627075,0.9563862681388855,0.9578729271888733,"""[0.9594684]""",0.14440655708312988,0.9613848328590393,0.9575597047805786
23,0.9670378565788269,"""[0.9669569]""",0.12622559070587158,0.970206081867218,0.9637294411659241,0.9613259434700012,"""[0.9630607]""",0.13045856356620789,0.9580052495002747,0.9681697487831116
24,0.9688196182250977,"""[0.96874297]""",0.11650045216083527,0.9719982147216797,0.9655095934867859,0.9544199109077454,"""[0.9573643]""",0.15675923228263855,0.9332493543624878,0.982758641242981
25,0.9699332118034363,"""[0.96995324]""",0.11363185942173004,0.970169186592102,0.9697374105453491,0.9530386924743652,"""[0.9561291]""",0.15476322174072266,0.9309045076370239,0.982758641242981
26,0.9717149138450623,"""[0.9717086]""",0.10694856941699982,0.9727921485900879,0.97062748670578,0.9537292718887329,"""[0.95669043]""",0.16188262403011322,0.9331651926040649,0.9814323782920837
27,0.9702672362327576,"""[0.9702838]""",0.11469067633152008,0.9706078767776489,0.9699599742889404,0.9475138187408447,"""[0.9509678]""",0.1682625263929367,0.9258794188499451,0.9774535894393921
28,0.9727171659469604,"""[0.9727566]""",0.10455721616744995,0.9722160696983337,0.9732977151870728,0.939226508140564,"""[0.9440204]""",0.1800355464220047,0.9070904850959778,0.9840849041938782
