epoch,accuracy,f1_score,loss,precision,recall,val_accuracy,val_f1_score,val_loss,val_precision,val_recall
0,0.5110244750976562,"""[0.53182644]""",130979.3203125,0.5105424523353577,0.554962158203125,0.5207182168960571,"""[0.684832]""",0.6923353672027588,0.5207182168960571,1.0
1,0.5072383284568787,"""[0.52900475]""",0.6934978365898132,0.5070393681526184,0.5529595017433167,0.5207182168960571,"""[0.684832]""",0.6923422813415527,0.5207182168960571,1.0
2,0.5052338242530823,"""[0.5357852]""",0.6939355134963989,0.5050226449966431,0.5705385208129883,0.5207182168960571,"""[0.684832]""",0.692467987537384,0.5207182168960571,1.0
