epoch,binary_accuracy,f1_score,loss,precision,recall,val_binary_accuracy,val_f1_score,val_loss,val_precision,val_recall
0,0.5051224827766418,"""[0.074552275]""",0.6917349696159363,0.5811688303947449,0.03983088582754135,0.4792817533016205,"""[0.0]""",0.6901083588600159,0.0,0.0
1,0.5447661280632019,"""[0.24436228]""",0.687545657157898,0.721615731716156,0.14708499610424042,0.6995856165885925,"""[0.6419753]""",0.6808145642280579,0.8459869623184204,0.517241358757019
2,0.6958797574043274,"""[0.65815496]""",0.6683700680732727,0.7522174715995789,0.5850022435188293,0.791436493396759,"""[0.8033854]""",0.6303468346595764,0.789002537727356,0.8183023929595947
3,0.7673719525337219,"""[0.770616]""",0.5777392983436584,0.7606763243675232,0.7808188796043396,0.8017956018447876,"""[0.8257438]""",0.47395744919776917,0.7614781856536865,0.9018567800521851
4,0.7982182502746582,"""[0.8035985]""",0.46075665950775146,0.783389687538147,0.8248776197433472,0.8508287072181702,"""[0.85770756]""",0.3812028765678406,0.8520942330360413,0.8633952140808105
5,0.8260579109191895,"""[0.8285401]""",0.4042356610298157,0.8175910115242004,0.8397864103317261,0.8356353640556335,"""[0.8586698]""",0.367915540933609,0.7774193286895752,0.9588859677314758
6,0.838752806186676,"""[0.84133244]""",0.3725207448005676,0.8287996649742126,0.8542501330375671,0.8798342347145081,"""[0.8880309]""",0.2875695824623108,0.862500011920929,0.9151193499565125
7,0.8493318557739258,"""[0.85044765]""",0.3425597846508026,0.8449373841285706,0.856030285358429,0.8929557800292969,"""[0.902943]""",0.27240368723869324,0.8552787899971008,0.9562334418296814
8,0.8621380925178528,"""[0.8629621]""",0.32238975167274475,0.858590304851532,0.8673787117004395,0.9074585437774658,"""[0.9125326]""",0.2387954741716385,0.8984575867652893,0.9270557165145874
9,0.872271716594696,"""[0.87231433]""",0.29832470417022705,0.8728001713752747,0.871829092502594,0.916436493396759,"""[0.92168283]""",0.22827565670013428,0.9001263976097107,0.9442970752716064
10,0.8826280832290649,"""[0.8816794]""",0.28025758266448975,0.8896692395210266,0.8738317489624023,0.9157458543777466,"""[0.9227848]""",0.2290799915790558,0.8825665712356567,0.9668434858322144
11,0.889977753162384,"""[0.88906354]""",0.2689358592033386,0.8973254561424255,0.8809523582458496,0.9226519465446472,"""[0.928113]""",0.21244709193706512,0.8992537260055542,0.9588859677314758
12,0.8927617073059082,"""[0.89134604]""",0.2625926434993744,0.9040970206260681,0.8789497017860413,0.9191988706588745,"""[0.9260897]""",0.2219162881374359,0.8841978311538696,0.9721485376358032
13,0.8997772932052612,"""[0.89839697]""",0.2549418807029724,0.9117782115936279,0.8854027390480042,0.9233425259590149,"""[0.92494935]""",0.19778193533420563,0.9434483051300049,0.9071618318557739
14,0.9041202664375305,"""[0.90272284]""",0.24468287825584412,0.9169152975082397,0.8889630436897278,0.9323204159736633,"""[0.9364462]""",0.19657714664936066,0.9162436723709106,0.9575597047805786
15,0.9073496460914612,"""[0.90558326]""",0.24023529887199402,0.9240388870239258,0.8878504633903503,0.9288673996925354,"""[0.93418527]""",0.20532263815402985,0.9013563394546509,0.9694960117340088
16,0.910690426826477,"""[0.90917325]""",0.234786257147789,0.9257380366325378,0.8931909203529358,0.9102209806442261,"""[0.91935486]""",0.2511378228664398,0.8636363744735718,0.982758641242981
17,0.9110245108604431,"""[0.9095642]""",0.2345774620771408,0.9255931973457336,0.8940809965133667,0.9364640712738037,"""[0.93858474]""",0.1858169436454773,0.9448924660682678,0.9323607683181763
18,0.9158129096031189,"""[0.9144022]""",0.22929087281227112,0.930843710899353,0.8985313773155212,0.9399171471595764,"""[0.9438347]""",0.19538508355617523,0.9194968342781067,0.9694960117340088
19,0.9190422892570496,"""[0.9178253]""",0.22548629343509674,0.9326900839805603,0.9034267663955688,0.9468231797218323,"""[0.94930875]""",0.18527689576148987,0.94248366355896,0.9562334418296814
20,0.9203786253929138,"""[0.91907185]""",0.22386591136455536,0.9352683424949646,0.9034267663955688,0.9475138187408447,"""[0.95039165]""",0.18971844017505646,0.9357326626777649,0.9655172228813171
21,0.9191536903381348,"""[0.91753745]""",0.21971966326236725,0.9371229410171509,0.8987538814544678,0.9447513818740845,"""[0.94811934]""",0.19005179405212402,0.9276649951934814,0.9694960117340088
22,0.9224944114685059,"""[0.9210706]""",0.22112329304218292,0.9391766786575317,0.9036493301391602,0.9191988706588745,"""[0.9268293]""",0.2377924770116806,0.8769230842590332,0.982758641242981
23,0.9252784252166748,"""[0.9241551]""",0.21569190919399261,0.9391224384307861,0.9096572995185852,0.9495856165885925,"""[0.95168763]""",0.17857731878757477,0.9498018622398376,0.953580915927887
