epoch,accuracy,f1_score,loss,precision,recall,val_accuracy,val_f1_score,val_loss,val_precision,val_recall
0,0.5004454255104065,"""[0.44943547]""",0.695794939994812,0.5010946989059448,0.4074321389198303,0.4792817533016205,"""[0.0]""",0.6932003498077393,0.0,0.0
1,0.492984414100647,"""[0.53687316]""",0.693274974822998,0.49447256326675415,0.5872274041175842,0.4792817533016205,"""[0.0]""",0.6931695938110352,0.0,0.0
2,0.4910913109779358,"""[0.5327198]""",0.6933233737945557,0.4928112030029297,0.5796617865562439,0.4792817533016205,"""[0.0]""",0.6932408213615417,0.0,0.0
3,0.49287304282188416,"""[0.53215533]""",0.6932886838912964,0.4942747950553894,0.5763239860534668,0.4792817533016205,"""[0.0]""",0.693184494972229,0.0,0.0
4,0.4910913109779358,"""[0.54581594]""",0.6932761669158936,0.49317529797554016,0.6110369563102722,0.4792817533016205,"""[0.0]""",0.6931995153427124,0.0,0.0
