epoch,accuracy,f1_score,loss,precision,recall,val_accuracy,val_f1_score,val_loss,val_precision,val_recall
0,0.6145879626274109,"""[0.5651464]""",0.6404598951339722,0.6490620374679565,0.5004450082778931,0.7292817831039429,"""[0.676033]""",0.5373412370681763,0.8969298005104065,0.5424402952194214
1,0.7236080169677734,"""[0.7149748]""",0.5518352389335632,0.7387280464172363,0.6927013993263245,0.7617403268814087,"""[0.74040633]""",0.4719722270965576,0.8556521534919739,0.6525198817253113
2,0.7808462977409363,"""[0.7789261]""",0.473540335893631,0.7865244746208191,0.7714730501174927,0.8418508172035217,"""[0.84702736]""",0.36291542649269104,0.8532974720001221,0.8408488035202026
3,0.8801781535148621,"""[0.8773929]""",0.32168278098106384,0.8991125822067261,0.8566977977752686,0.9136740565299988,"""[0.92113566]""",0.2611505389213562,0.8784596920013428,0.9681697487831116
4,0.9012249708175659,"""[0.89900947]""",0.28043556213378906,0.9204942584037781,0.8785046935081482,0.9267956018447876,"""[0.9323116]""",0.21740372478961945,0.8990147709846497,0.9681697487831116
5,0.9198217988014221,"""[0.9184413]""",0.2381012737751007,0.9353945255279541,0.9020916819572449,0.9233425259590149,"""[0.92961323]""",0.23242832720279694,0.8906440138816833,0.9721485376358032
6,0.9244989156723022,"""[0.9234418]""",0.22592341899871826,0.9374140501022339,0.9098798632621765,0.9412983655929565,"""[0.9451259]""",0.1898246854543686,0.9207547307014465,0.970822274684906
7,0.9317371845245361,"""[0.93100727]""",0.21046437323093414,0.9419266581535339,0.9203382134437561,0.958563506603241,"""[0.9604743]""",0.1566786766052246,0.9541884660720825,0.9668434858322144
8,0.9389755129814148,"""[0.9382187]""",0.198210671544075,0.9508683681488037,0.9259011745452881,0.9302486181259155,"""[0.9357915]""",0.20492537319660187,0.8986569046974182,0.9761273264884949
9,0.9385300874710083,"""[0.9378938]""",0.19600269198417664,0.948566198348999,0.9274588227272034,0.955110490322113,"""[0.95754415]""",0.15022392570972443,0.9433719515800476,0.9721485376358032
10,0.9435412287712097,"""[0.9428475]""",0.18654213845729828,0.9554489254951477,0.9305741190910339,0.9571823477745056,"""[0.9592105]""",0.141238272190094,0.9516971111297607,0.9668434858322144
11,0.9472160339355469,"""[0.94681334]""",0.17757587134838104,0.9549570083618164,0.9388073086738586,0.9592541456222534,"""[0.9613621]""",0.15284717082977295,0.9495472311973572,0.9734748005867004
12,0.9467706084251404,"""[0.9464365]""",0.1754065603017807,0.9532731175422668,0.9396973848342896,0.9620165824890137,"""[0.964216]""",0.14054101705551147,0.946360170841217,0.982758641242981
13,0.9501113295555115,"""[0.9498881]""",0.1684112548828125,0.9550157189369202,0.9448153376579285,0.9647790193557739,"""[0.96638095]""",0.13141953945159912,0.9606814980506897,0.9721485376358032
14,0.9506681561470032,"""[0.9503864]""",0.1655762642621994,0.9567080140113831,0.9441477656364441,0.9627071619033813,"""[0.9643329]""",0.12404965609312057,0.9605262875556946,0.9681697487831116
15,0.9514476656913757,"""[0.9511976]""",0.160538911819458,0.9569819569587708,0.9454828500747681,0.9537292718887329,"""[0.95674634]""",0.14677053689956665,0.9320755004882812,0.982758641242981
16,0.9550111293792725,"""[0.95485026]""",0.15748374164104462,0.9591378569602966,0.950600802898407,0.9571823477745056,"""[0.9594771]""",0.13813135027885437,0.9458763003349304,0.9734748005867004
17,0.955456554889679,"""[0.95513684]""",0.15426315367221832,0.9629127383232117,0.9474855065345764,0.9461326003074646,"""[0.94948184]""",0.16450326144695282,0.9278481006622314,0.9721485376358032
18,0.9574609994888306,"""[0.95718443]""",0.1484391838312149,0.9643179774284363,0.9501557350158691,0.9281768202781677,"""[0.93341863]""",0.198918879032135,0.9022276997566223,0.9668434858322144
19,0.9577950835227966,"""[0.95759195]""",0.15077197551727295,0.9630879759788513,0.9521584510803223,0.9599447250366211,"""[0.9623377]""",0.1369381695985794,0.9427480697631836,0.982758641242981
20,0.9599109292030334,"""[0.9597495]""",0.13980156183242798,0.9644944071769714,0.9550511837005615,0.9495856165885925,"""[0.9526282]""",0.16487626731395721,0.9326556324958801,0.9734748005867004
21,0.9678173661231995,"""[0.96782094]""",0.12026156485080719,0.9685758948326111,0.9670671820640564,0.9592541456222534,"""[0.9616634]""",0.13118353486061096,0.9426751732826233,0.9814323782920837
22,0.9692650437355042,"""[0.96926504]""",0.11334934830665588,0.9701293110847473,0.9684023261070251,0.9627071619033813,"""[0.964798]""",0.1290416419506073,0.9487179517745972,0.9814323782920837
