epoch,accuracy,f1_score,loss,precision,recall,val_accuracy,val_f1_score,val_loss,val_precision,val_recall
0,0.7929844260215759,"""[0.7906767]""",0.4293733537197113,0.8003191351890564,0.7812638878822327,0.9033148884773254,"""[0.90944374]""",0.2506999969482422,0.8876262903213501,0.9323607683181763
1,0.9452115893363953,"""[0.94483066]""",0.17453931272029877,0.9523056149482727,0.9374721646308899,0.8708563446998596,"""[0.885627]""",0.3027038872241974,0.8217934370040894,0.960212230682373
2,0.961581289768219,"""[0.96144825]""",0.13711431622505188,0.965656578540802,0.9572763442993164,0.8715469837188721,"""[0.8867235]""",0.3302205502986908,0.8198198080062866,0.9655172228813171
3,0.9662583470344543,"""[0.9661642]""",0.12152358889579773,0.969737708568573,0.9626168012619019,0.8763812184333801,"""[0.8897105]""",0.28136637806892395,0.8308400511741638,0.9575597047805786
4,0.9695991277694702,"""[0.96953464]""",0.1056615561246872,0.9724647402763367,0.9666221737861633,0.9295580387115479,"""[0.93126684]""",0.2486073225736618,0.9465753436088562,0.9164456129074097
5,0.9710467457771301,"""[0.9709692]""",0.09817700833082199,0.974450945854187,0.9675122499465942,0.9067679643630981,"""[0.9048626]""",0.28828927874565125,0.965413510799408,0.8514589071273804
6,0.9750556945800781,"""[0.97499996]""",0.08163115382194519,0.9780564308166504,0.9719626307487488,0.8888121843338013,"""[0.89484]""",0.2958805561065674,0.8815959095954895,0.9084880352020264
7,0.9753897786140442,"""[0.9753925]""",0.07523790001869202,0.9761533141136169,0.9746328592300415,0.8998618721961975,"""[0.9045425]""",0.2744009494781494,0.8980392217636108,0.9111405611038208
8,0.9804009199142456,"""[0.98037463]""",0.06083684787154198,0.9825659394264221,0.9781931638717651,0.9178176522254944,"""[0.9179875]""",0.2393086850643158,0.955523669719696,0.883289098739624
9,0.9795100092887878,"""[0.97951]""",0.058685675263404846,0.9803833961486816,0.9786381721496582,0.84944748878479,"""[0.86442786]""",0.4088371694087982,0.8138173222541809,0.9217506647109985
10,0.981069028377533,"""[0.9810606]""",0.05348152667284012,0.9823739528656006,0.9797507524490356,0.8825966715812683,"""[0.89158165]""",0.38201144337654114,0.8587223291397095,0.9270557165145874
11,0.9832962155342102,"""[0.9832776]""",0.04563604295253754,0.98525470495224,0.9813084006309509,0.8950276374816895,"""[0.8934082]""",0.3888215124607086,0.9479166865348816,0.8448275923728943
12,0.9868596792221069,"""[0.9868744]""",0.03821185603737831,0.9866548180580139,0.9870939254760742,0.8950276374816895,"""[0.90231365]""",0.36040791869163513,0.8753117322921753,0.931034505367279
13,0.9868596792221069,"""[0.9868509]""",0.038419730961322784,0.9883928298950195,0.9853137731552124,0.8653314709663391,"""[0.8808796]""",0.5461821556091309,0.8165345191955566,0.9562334418296814
14,0.9878619313240051,"""[0.98785514]""",0.039626363664865494,0.9892880916595459,0.9864263534545898,0.894336998462677,"""[0.8939709]""",0.34429097175598145,0.9361393451690674,0.8554376363754272
15,0.9899777173995972,"""[0.98996425]""",0.02771659567952156,0.9921770095825195,0.9877614378929138,0.8929557800292969,"""[0.8974189]""",0.3289187550544739,0.8956406712532043,0.8992042541503906
