epoch,accuracy,f1_score,loss,precision,recall,val_accuracy,val_f1_score,val_loss,val_precision,val_recall
0,0.7877505421638489,"""[0.7881281]""",0.630633533000946,0.7874277830123901,0.7888295650482178,0.8218231797218323,"""[0.8230453]""",0.44317272305488586,0.8522727489471436,0.7957559823989868
1,0.9335189461708069,"""[0.93328863]""",0.1974896788597107,0.9373737573623657,0.9292389750480652,0.825276255607605,"""[0.8519602]""",0.4296218752861023,0.7623036503791809,0.9655172228813171
2,0.960690438747406,"""[0.9605718]""",0.13885456323623657,0.9643417596817017,0.9568313360214233,0.9136740565299988,"""[0.9158249]""",0.29458513855934143,0.930232584476471,0.9018567800521851
3,0.9671491980552673,"""[0.9671967]""",0.115317203104496,0.9666592478752136,0.9677347540855408,0.9178176522254944,"""[0.917647]""",0.21143697202205658,0.959479033946991,0.8793103694915771
4,0.972271740436554,"""[0.97230566]""",0.09891748428344727,0.9719813466072083,0.9726302027702332,0.9226519465446472,"""[0.92802054]""",0.20723199844360352,0.9002493619918823,0.9575597047805786
5,0.9749442934989929,"""[0.97494155]""",0.08616247773170471,0.9759197235107422,0.9739652872085571,0.9129834175109863,"""[0.9173228]""",0.2433083951473236,0.9077922105789185,0.9270557165145874
6,0.9755011200904846,"""[0.97550654]""",0.0829085260629654,0.976158618927002,0.974855363368988,0.9440608024597168,"""[0.9456011]""",0.17337656021118164,0.9578231573104858,0.9336870312690735
7,0.9741647839546204,"""[0.97417635]""",0.07902617752552032,0.9746102690696716,0.9737427830696106,0.9212707281112671,"""[0.9222374]""",0.23112818598747253,0.949438214302063,0.8965517282485962
8,0.9766147136688232,"""[0.97659385]""",0.07045286148786545,0.9783385396003723,0.974855363368988,0.9406077265739441,"""[0.94458765]""",0.1848287582397461,0.9185463786125183,0.9721485376358032
9,0.9786191582679749,"""[0.9786524]""",0.06570439040660858,0.9779999852180481,0.9793057441711426,0.924723744392395,"""[0.93088144]""",0.24038904905319214,0.8918590545654297,0.9734748005867004
10,0.9786191582679749,"""[0.97862864]""",0.05942114442586899,0.9790645837783813,0.9781931638717651,0.8998618721961975,"""[0.90129334]""",0.3021450340747833,0.9258741140365601,0.8779841065406799
11,0.9828507900238037,"""[0.9828737]""",0.05205400288105011,0.9824366569519043,0.9833110570907593,0.9074585437774658,"""[0.91551065]""",0.3408687710762024,0.8725961446762085,0.9628646969795227
12,0.9827394485473633,"""[0.9827605]""",0.04961887747049332,0.9824327230453491,0.9830885529518127,0.8950276374816895,"""[0.9029374]""",0.3395654559135437,0.8706896305084229,0.9376657605171204
13,0.9879732728004456,"""[0.9879947]""",0.034527651965618134,0.987116813659668,0.988874077796936,0.9171270728111267,"""[0.9196786]""",0.23943866789340973,0.9283784031867981,0.9111405611038208
14,0.9937639236450195,"""[0.9937722]""",0.01795053295791149,0.9933303594589233,0.9942145347595215,0.916436493396759,"""[0.9196013]""",0.2497515231370926,0.9214380979537964,0.9177718758583069
