epoch,accuracy,f1_score,loss,precision,recall,val_accuracy,val_f1_score,val_loss,val_precision,val_recall
0,0.8060133457183838,"""[0.8056671]""",0.5063906908035278,0.8078299760818481,0.8035157918930054,0.8473756909370422,"""[0.84043324]""",0.3735545575618744,0.9223454594612122,0.7718833088874817
1,0.9185968637466431,"""[0.91893095]""",0.21748463809490204,0.9159849882125854,0.9218958616256714,0.8515193462371826,"""[0.86882246]""",0.42404794692993164,0.804519772529602,0.9442970752716064
2,0.9522271752357483,"""[0.9522112]""",0.15286287665367126,0.9533794522285461,0.9510458111763,0.8977900743484497,"""[0.9031413]""",0.28653374314308167,0.8914728760719299,0.9151193499565125
3,0.9640311598777771,"""[0.9640353]""",0.1305309385061264,0.9647871851921082,0.9632843732833862,0.908839762210846,"""[0.9133858]""",0.2450786679983139,0.9038960933685303,0.9230769276618958
4,0.9690423011779785,"""[0.9690217]""",0.10397699475288391,0.9705356955528259,0.9675122499465942,0.8674033284187317,"""[0.8736843]""",0.35282009840011597,0.8668407201766968,0.8806366324424744
5,0.9709354043006897,"""[0.9709322]""",0.09185682237148285,0.9719063639640808,0.9699599742889404,0.9067679643630981,"""[0.91250813]""",0.28348472714424133,0.892268717288971,0.9336870312690735
6,0.9737193584442139,"""[0.9737661]""",0.08201770484447479,0.972900927066803,0.9746328592300415,0.8901933431625366,"""[0.8898129]""",0.32755404710769653,0.9317851662635803,0.8514589071273804
7,0.9738307595252991,"""[0.97377527]""",0.07892974466085434,0.9767181277275085,0.9708500504493713,0.9095304012298584,"""[0.91033536]""",0.28431159257888794,0.9405940771102905,0.8819628357887268
8,0.9771714806556702,"""[0.9771791]""",0.06640233844518661,0.9777233004570007,0.9766355156898499,0.8687845468521118,"""[0.8819875]""",0.42272165417671204,0.8294392228126526,0.941644549369812
9,0.9788418412208557,"""[0.9788088]""",0.056275125592947006,0.9812164306640625,0.9764130115509033,0.9109116196632385,"""[0.91529876]""",0.3124243915081024,0.9063718914985657,0.924403190612793
10,0.988418698310852,"""[0.988429]""",0.0331767275929451,0.9884290099143982,0.9884290099143982,0.8957182168960571,"""[0.8988613]""",0.33076363801956177,0.9079837799072266,0.8899204134941101
11,0.993318498134613,"""[0.9933274]""",0.01939605548977852,0.9928857088088989,0.9937694668769836,0.9026243090629578,"""[0.90656066]""",0.34806424379348755,0.9059602618217468,0.9071618318557739
