epoch,accuracy,f1_score,loss,precision,recall,val_accuracy,val_f1_score,val_loss,val_precision,val_recall
0,0.5615763664245605,"""[0.7138264]""",0.8799741864204407,0.5873016119003296,0.9098360538482666,0.6600000262260437,"""[0.79518074]""",0.690707802772522,0.6600000262260437,1.0
1,0.6009852290153503,"""[0.7507692]""",0.6909662485122681,0.6009852290153503,1.0,0.6600000262260437,"""[0.79518074]""",0.6863619089126587,0.6600000262260437,1.0
2,0.6009852290153503,"""[0.7507692]""",0.6875409483909607,0.6009852290153503,1.0,0.6600000262260437,"""[0.79518074]""",0.6780831813812256,0.6600000262260437,1.0
3,0.6009852290153503,"""[0.7507692]""",0.6821029782295227,0.6009852290153503,1.0,0.6600000262260437,"""[0.79518074]""",0.6651532053947449,0.6600000262260437,1.0
4,0.6009852290153503,"""[0.7507692]""",0.678863525390625,0.6009852290153503,1.0,0.6600000262260437,"""[0.79518074]""",0.6527509093284607,0.6600000262260437,1.0
5,0.6009852290153503,"""[0.7507692]""",0.6753771305084229,0.6009852290153503,1.0,0.6600000262260437,"""[0.79518074]""",0.6484662890434265,0.6600000262260437,1.0
6,0.6009852290153503,"""[0.7507692]""",0.6744643449783325,0.6009852290153503,1.0,0.6600000262260437,"""[0.79518074]""",0.6485903263092041,0.6600000262260437,1.0
7,0.6009852290153503,"""[0.7507692]""",0.6741049885749817,0.6009852290153503,1.0,0.6600000262260437,"""[0.79518074]""",0.648886501789093,0.6600000262260437,1.0
8,0.6009852290153503,"""[0.7507692]""",0.6735889911651611,0.6009852290153503,1.0,0.6600000262260437,"""[0.79518074]""",0.6489865779876709,0.6600000262260437,1.0
9,0.6009852290153503,"""[0.7507692]""",0.674411416053772,0.6009852290153503,1.0,0.6600000262260437,"""[0.79518074]""",0.6488690972328186,0.6600000262260437,1.0
10,0.6009852290153503,"""[0.7507692]""",0.6731760501861572,0.6009852290153503,1.0,0.6600000262260437,"""[0.79518074]""",0.6486510634422302,0.6600000262260437,1.0
11,0.6009852290153503,"""[0.7507692]""",0.6733327507972717,0.6009852290153503,1.0,0.6600000262260437,"""[0.79518074]""",0.648334264755249,0.6600000262260437,1.0
12,0.6009852290153503,"""[0.7507692]""",0.6728368401527405,0.6009852290153503,1.0,0.6600000262260437,"""[0.79518074]""",0.6482025384902954,0.6600000262260437,1.0
13,0.6009852290153503,"""[0.7507692]""",0.6739629507064819,0.6009852290153503,1.0,0.6600000262260437,"""[0.79518074]""",0.6483888030052185,0.6600000262260437,1.0
14,0.6009852290153503,"""[0.7507692]""",0.674150288105011,0.6009852290153503,1.0,0.6600000262260437,"""[0.79518074]""",0.648526668548584,0.6600000262260437,1.0
15,0.6009852290153503,"""[0.7507692]""",0.6730775833129883,0.6009852290153503,1.0,0.6600000262260437,"""[0.79518074]""",0.6485554575920105,0.6600000262260437,1.0
16,0.6009852290153503,"""[0.7507692]""",0.6743785738945007,0.6009852290153503,1.0,0.6600000262260437,"""[0.79518074]""",0.6486086249351501,0.6600000262260437,1.0
17,0.6009852290153503,"""[0.7507692]""",0.6732509136199951,0.6009852290153503,1.0,0.6600000262260437,"""[0.79518074]""",0.6484490036964417,0.6600000262260437,1.0
18,0.6009852290153503,"""[0.7507692]""",0.6726213097572327,0.6009852290153503,1.0,0.6600000262260437,"""[0.79518074]""",0.6481730937957764,0.6600000262260437,1.0
