epoch,accuracy,f1_score,loss,precision,recall,val_accuracy,val_f1_score,val_loss,val_precision,val_recall
0,0.5044543147087097,"""[0.5141921]""",0.6932598948478699,0.5047149658203125,0.5240320563316345,0.5207182168960571,"""[0.684832]""",0.692752480506897,0.5207182168960571,1.0
1,0.5291759371757507,"""[0.6147257]""",0.6883268356323242,0.5205246806144714,0.7505562901496887,0.7127071619033813,"""[0.7138927]""",0.6444747447967529,0.741428554058075,0.6883289217948914
2,0.6553452014923096,"""[0.6789086]""",0.6267610788345337,0.6359572410583496,0.7280818819999695,0.8073204159736633,"""[0.827884]""",0.47939857840538025,0.7739331126213074,0.8899204134941101
3,0.8032293915748596,"""[0.8061862]""",0.46126842498779297,0.794938325881958,0.8177570104598999,0.9412983655929565,"""[0.9441891]""",0.21656693518161774,0.9349805116653442,0.953580915927887
4,0.8891982436180115,"""[0.88595986]""",0.3108099699020386,0.9134956002235413,0.8600355982780457,0.9323204159736633,"""[0.9368557]""",0.23122836649417877,0.9110275506973267,0.9641909599304199
5,0.9141425490379333,"""[0.9127532]""",0.2565481662750244,0.9286207556724548,0.8974187970161438,0.9274861812591553,"""[0.93273544]""",0.2219921350479126,0.9021065831184387,0.9655172228813171
6,0.9260579347610474,"""[0.9252084]""",0.22624972462654114,0.9368156790733337,0.9138851761817932,0.9447513818740845,"""[0.9471599]""",0.1763644814491272,0.9434210658073425,0.9509283900260925
7,0.9325166940689087,"""[0.9318182]""",0.20925304293632507,0.9424214959144592,0.9214507937431335,0.9364640712738037,"""[0.9407217]""",0.22296611964702606,0.9147869944572449,0.9681697487831116
8,0.9405345320701599,"""[0.94]""",0.19216756522655487,0.9493871927261353,0.9307966232299805,0.9537292718887329,"""[0.955892]""",0.16567042469978333,0.9490196108818054,0.9628646969795227
9,0.9440979957580566,"""[0.9437345]""",0.1831372082233429,0.9507678151130676,0.9368046522140503,0.9371547102928162,"""[0.94125247]""",0.19911696016788483,0.9169811606407166,0.9668434858322144
10,0.9453229308128357,"""[0.94496137]""",0.17573396861553192,0.9521120190620422,0.9379172325134277,0.9337016344070435,"""[0.9382239]""",0.20095907151699066,0.9112499952316284,0.9668434858322144
11,0.9457683563232422,"""[0.94540966]""",0.17618843913078308,0.9525638222694397,0.9383622407913208,0.9288673996925354,"""[0.9318332]""",0.20288001000881195,0.9299867749214172,0.9336870312690735
12,0.948775053024292,"""[0.94848824]""",0.17212912440299988,0.9546889066696167,0.9423676133155823,0.9385359287261963,"""[0.94125414]""",0.18677353858947754,0.9369251132011414,0.9456233382225037
13,0.9507794976234436,"""[0.95054823]""",0.1678534597158432,0.9558956027030945,0.9452603459358215,0.9516574740409851,"""[0.9534575]""",0.1550513356924057,0.9559999704360962,0.9509283900260925
14,0.9495545625686646,"""[0.9493005]""",0.16239489614963531,0.9549651145935059,0.9437026977539062,0.9440608024597168,"""[0.9471624]""",0.18852591514587402,0.9319640398025513,0.9628646969795227
15,0.9530066847801208,"""[0.95277524]""",0.1576240062713623,0.9583520889282227,0.9472630023956299,0.9171270728111267,"""[0.9207398]""",0.199028879404068,0.9171052575111389,0.924403190612793
16,0.9532294273376465,"""[0.95308304]""",0.16054002940654755,0.9569313526153564,0.9492656588554382,0.9385359287261963,"""[0.9399865]""",0.1820419281721115,0.9561042785644531,0.924403190612793
17,0.9547884464263916,"""[0.95461655]""",0.15835370123386383,0.9591194987297058,0.9501557350158691,0.9295580387115479,"""[0.9344473]""",0.20054762065410614,0.9064837694168091,0.9641909599304199
18,0.9543429613113403,"""[0.9541899]""",0.1543591171503067,0.9582585096359253,0.9501557350158691,0.9530386924743652,"""[0.9549072]""",0.14984481036663055,0.9549071788787842,0.9549071788787842
19,0.9579064846038818,"""[0.95770866]""",0.146834596991539,0.9630963206291199,0.9523809552192688,0.9385359287261963,"""[0.9409423]""",0.17696033418178558,0.941567063331604,0.9403182864189148
20,0.9592427611351013,"""[0.95909697]""",0.1392524689435959,0.9634037017822266,0.954828679561615,0.9475138187408447,"""[0.9491299]""",0.1674407720565796,0.958108127117157,0.9403182864189148
21,0.9590200185775757,"""[0.95890105]""",0.14283356070518494,0.9625560641288757,0.9552736878395081,0.9254143834114075,"""[0.92959577]""",0.20949259400367737,0.9141025543212891,0.9456233382225037
22,0.9563474655151367,"""[0.9562206]""",0.1495520919561386,0.9598654508590698,0.9526034593582153,0.9475138187408447,"""[0.9493333]""",0.15194150805473328,0.9544236063957214,0.9442970752716064
23,0.9584632515907288,"""[0.95836586]""",0.13897345960140228,0.9614781737327576,0.9552736878395081,0.9406077265739441,"""[0.94356954]""",0.19199427962303162,0.93376624584198,0.953580915927887
24,0.9587973356246948,"""[0.95873296]""",0.14157353341579437,0.9610912203788757,0.9563862681388855,0.9295580387115479,"""[0.9333333]""",0.18572072684764862,0.9201030731201172,0.9469496011734009
25,0.9672605991363525,"""[0.9672606]""",0.11462553590536118,0.9681230783462524,0.9663996696472168,0.9454419612884521,"""[0.94750834]""",0.16601386666297913,0.949400782585144,0.9456233382225037
26,0.9692650437355042,"""[0.9692445]""",0.11208455264568329,0.9707589149475098,0.9677347540855408,0.9461326003074646,"""[0.948]""",0.1652359515428543,0.9530830979347229,0.9429708123207092
