epoch,accuracy,f1_score,loss,precision,recall,val_accuracy,val_f1_score,val_loss,val_precision,val_recall
0,0.5615763664245605,"""[0.71197414]""",0.7132115364074707,0.5882353186607361,0.9016393423080444,0.6600000262260437,"""[0.79518074]""",0.6800500750541687,0.6600000262260437,1.0
1,0.6009852290153503,"""[0.7507692]""",0.6836434602737427,0.6009852290153503,1.0,0.6600000262260437,"""[0.79518074]""",0.6509461998939514,0.6600000262260437,1.0
2,0.6009852290153503,"""[0.7507692]""",0.676916778087616,0.6009852290153503,1.0,0.6600000262260437,"""[0.79518074]""",0.6479139924049377,0.6600000262260437,1.0
3,0.6009852290153503,"""[0.7507692]""",0.6744076013565063,0.6009852290153503,1.0,0.6600000262260437,"""[0.79518074]""",0.649899959564209,0.6600000262260437,1.0
4,0.6009852290153503,"""[0.7507692]""",0.6745669841766357,0.6009852290153503,1.0,0.6600000262260437,"""[0.79518074]""",0.650062620639801,0.6600000262260437,1.0
5,0.6009852290153503,"""[0.7507692]""",0.6748020648956299,0.6009852290153503,1.0,0.6600000262260437,"""[0.79518074]""",0.6495023369789124,0.6600000262260437,1.0
6,0.6009852290153503,"""[0.7507692]""",0.6745161414146423,0.6009852290153503,1.0,0.6600000262260437,"""[0.79518074]""",0.6491798162460327,0.6600000262260437,1.0
7,0.6009852290153503,"""[0.7507692]""",0.6746084094047546,0.6009852290153503,1.0,0.6600000262260437,"""[0.79518074]""",0.6492813229560852,0.6600000262260437,1.0
8,0.6009852290153503,"""[0.7507692]""",0.6745467185974121,0.6009852290153503,1.0,0.6600000262260437,"""[0.79518074]""",0.6495075225830078,0.6600000262260437,1.0
9,0.6009852290153503,"""[0.7507692]""",0.6727156043052673,0.6009852290153503,1.0,0.6600000262260437,"""[0.79518074]""",0.649365246295929,0.6600000262260437,1.0
10,0.6009852290153503,"""[0.7507692]""",0.6728745698928833,0.6009852290153503,1.0,0.6600000262260437,"""[0.79518074]""",0.6490785479545593,0.6600000262260437,1.0
